,county_state,date1,,date2,Pre_rally_beg,pre_rally_end,post_rally_beg,post_rally_end,average_growth_new_cases,pre_rally_rate,post_rally_rate,post_rally_growth_new_cases,post_rally_change_in_growth,pre_rally_rate,post_rally_rate,post_rally_growth_deaths
Mike Pence,Berks_Pennsylvania,20201017,Berks_Pennsylvania_20201017,10/17/2020,10/3/2020,10/17/2020,10/17/2020,10/31/2020,-0.9%,107436,132842,23.65%,-2880.09%,5664,6279,10.86%
Donald Trump,Rock_Wisconsin,20201017,Rock_Wisconsin_20201017,10/17/2020,10/3/2020,10/17/2020,10/17/2020,10/31/2020,39.1%,47613,73251,53.85%,37.86%,490,642,31.02%
Donald Trump,Clark_Nevada,20201018,Clark_Nevada_20201018,10/18/2020,10/4/2020,10/18/2020,10/18/2020,11/1/2020,-6.2%,999774,1180726,18.10%,-390.30%,20137,22419,11.33%
Donald Trump,Ormsby_Nevada,20201018,Ormsby_Nevada_20201018,10/18/2020,10/4/2020,10/18/2020,10/18/2020,11/1/2020,#N/A,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Joe Biden,Durham_North Carolina,20201018,Durham_North Carolina_20201018,10/18/2020,10/4/2020,10/18/2020,10/18/2020,11/1/2020,-8.8%,115414,133729,15.87%,-281.25%,1372,1517,10.57%
Donald Trump,Pima_Arizona,20201019,Pima_Arizona_20201019,10/19/2020,10/5/2020,10/19/2020,10/19/2020,11/2/2020,-9.3%,370256,416447,12.48%,-234.74%,8840,9555,8.09%
Donald Trump,Yavapai_Arizona,20201019,Yavapai_Arizona_20201019,10/19/2020,10/5/2020,10/19/2020,10/19/2020,11/2/2020,-7.9%,37897,43826,15.65%,-298.18%,1193,1330,11.48%
Kamala Harris,Duval_Florida,20201019,Duval_Florida_20201019,10/19/2020,10/5/2020,10/19/2020,10/19/2020,11/2/2020,-10.1%,447677,515835,15.22%,-251.02%,6714,7730,15.13%
Kamala Harris,Orange_Florida,20201019,Orange_Florida_20201019,10/19/2020,10/5/2020,10/19/2020,10/19/2020,11/2/2020,-10.5%,590757,679663,15.05%,-243.69%,7135,8185,14.72%
Mike Pence,Penobscot_Maine,20201019,Penobscot_Maine_20201019,10/19/2020,10/5/2020,10/19/2020,10/19/2020,11/2/2020,-3.3%,3761,4429,17.76%,-641.37%,84,90,7.14%
Donald Trump,Erie_Pennsylvania,20201020,Erie_Pennsylvania_20201020,10/20/2020,10/6/2020,10/20/2020,10/20/2020,11/3/2020,7.2%,25042,31275,24.89%,244.47%,672,720,7.14%
Mike Pence,Rockingham_New Hampshire,20201021,Rockingham_New Hampshire_20201021,10/21/2020,10/7/2020,10/21/2020,10/21/2020,11/4/2020,-0.3%,31915,39437,23.57%,-7686.18%,1462,1575,7.73%
