Name,county_state,date1,Serial,date2,Pre_rally_beg,pre_rally_end,post_rally_beg,post_rally_end,average_growth_new_cases,pre_rally_rate,post_rally_rate,post_rally_growth_new_cases,post_rally_change_in_growth,pre_rally_rate,post_rally_rate,post_rally_growth_deaths
Donald Trump,Pitt_North Carolina,20201015,Pitt_North Carolina_20201015,10/15/2020,10/1/2020,10/15/2020,10/15/2020,10/29/2020,-0.6%,74132,89227,20.36%,-3680.68%,458,551,20.31%
Donald Trump,Lee_Florida,20201016,Lee_Florida_20201016,10/16/2020,10/2/2020,10/16/2020,10/16/2020,10/30/2020,-11.2%,295451,338064,14.42%,-229.32%,6710,7536,12.31%
Donald Trump,Marion_Florida,20201016,Marion_Florida_20201016,10/16/2020,10/2/2020,10/16/2020,10/16/2020,10/30/2020,-11.8%,141079,159266,12.89%,-208.96%,4407,5121,16.20%
Joe Biden,Oakland_Michigan,20201016,Oakland_Michigan_20201016,10/16/2020,10/2/2020,10/16/2020,10/16/2020,10/30/2020,-1.9%,303455,362485,19.45%,-1145.20%,17006,18478,8.66%
Joe Biden,Wayne_Michigan,20201016,Wayne_Michigan_20201016,10/16/2020,10/2/2020,10/16/2020,10/16/2020,10/30/2020,-7.4%,512828,592352,15.51%,-308.58%,42072,45593,8.37%
Donald Trump,Muskegon_Michigan,20201017,Muskegon_Michigan_20201017,10/17/2020,10/3/2020,10/17/2020,10/17/2020,10/31/2020,11.7%,37292,45930,23.16%,97.81%,1066,1253,17.54%
Donald Trump,Rock_Wisconsin,20201017,Rock_Wisconsin_20201017,10/17/2020,10/3/2020,10/17/2020,10/17/2020,10/31/2020,39.1%,47613,73251,53.85%,37.86%,490,642,31.02%
Donald Trump,Clark_Nevada,20201018,Clark_Nevada_20201018,10/18/2020,10/4/2020,10/18/2020,10/18/2020,11/1/2020,-6.2%,999774,1180726,18.10%,-390.30%,20137,22419,11.33%
Joe Biden,Durham_North Carolina,20201018,Durham_North Carolina_20201018,10/18/2020,10/4/2020,10/18/2020,10/18/2020,11/1/2020,-8.8%,115414,133729,15.87%,-281.25%,1372,1517,10.57%
Donald Trump,Pima_Arizona,20201019,Pima_Arizona_20201019,10/19/2020,10/5/2020,10/19/2020,10/19/2020,11/2/2020,-9.3%,370256,416447,12.48%,-234.74%,8840,9555,8.09%
